Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code) 
14114;295951;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870056N;Lycée Turgot;Limoges;87;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;21/03/2018;Oui;1
14119;607281;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870019Y;Lycée Suzanne Valadon;Limoges;87;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;28/03/2018;Oui;1
14084;416812;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;S;Physique-chimie;32;Scientifique;S;2;Sciences de l'ingénieur;Physique-chimie;32;31/03/2018;Oui;1
14084;540906;Bac S;M;0;Non;1;Boursier du secondaire;Lycée à classe postbac;1;0491966W;Lycée Henri Bergson;Angers;49;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;29/03/2018;Oui;1
60249;1196609;Bac Pro;M;0;Non;0;Non boursier;;;;;;;;;;;;Professionnelle;P;;;Technicien de maintenance de systèmes énergétiques et climatiques;232;09/03/2018;Oui;1
14084;250818;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0460026D;Lycée Jean-Lurçat;Saint-Céré;46;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;30/03/2018;Oui;1
101103;505970;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0761341V;Lycée Les Tourelles;Rouen;76;France;99100;STMG;Mercatique;206;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;28/03/2018;Oui;1
14118;1082619;Bac L;F;0;Non;0;Non boursier;Université;4;0692437Z;Université Jean Moulin Lyon 3;Lyon 8e  Arrondissement;69;France;99100;;;;Littéraire;L;;;Langue renforcée;23;;Non;0
14119;312203;Bac ES;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0360009P;Lycée Pierre Et Marie Curie;Châteauroux;36;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;;Non;0
14084;449949;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240025X;Lycée Laure Gatet;Périgueux;24;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;24/03/2018;Oui;1
14084;871544;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0170029P;Lycée Leonce Vieljeux;La Rochelle;17;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;26/03/2018;Oui;1
14084;543191;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0170060Y;Lycée Bernard Palissy;Saintes;17;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
14084;296028;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870056N;Lycée Turgot;Limoges;87;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;20/02/2018;Oui;1
14119;250806;Bac ES;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0460026D;Lycée Jean-Lurçat;Saint-Céré;46;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;28/03/2018;Oui;1
14084;879611;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0180561M;Lycée Sainte Marie Saint Dominique;Bourges;18;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;28/03/2018;Oui;1
14119;191525;Bac ES;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0630019D;Lycée Jeanne D'Arc;Clermont-Ferrand;63;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;18/03/2018;Oui;1
14114;206743;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0330028B;Lycée Gustave Eiffel;Bordeaux;33;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;;Non;0
14119;260203;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190011J;Lycée d'Arsonval;Brive-la-Gaillarde;19;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;25/03/2018;Oui;1
14119;460789;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0790024X;Lycée Paul Guerin;Niort;79;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;28/03/2018;Oui;1
14084;440808;Bac S;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0860003L;Lycée Marcelin Berthelot;Châtellerault;86;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;27/03/2018;Oui;1
14114;488738;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0310044E;Lycée Déodat de Séverac;Toulouse;31;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;31/03/2018;Oui;1
14084;207824;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0360002G;Lycée Rollinat;Argenton-sur-Creuse;36;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;30/03/2018;Oui;1
14119;308402;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0630052P;Lycée Claude et Pierre Virlogeux;Riom;63;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;21/03/2018;Oui;1
14084;171242;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0311902Z;Lycée Stéphane Hessel;Toulouse;31;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;30/03/2018;Oui;1
14119;148033;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0442095N;Lycée La Herdrie;Basse-Goulaine;44;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;16/03/2018;Oui;1
14084;141579;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0790029C;Lycée Ernest Perochon;Parthenay;79;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;28/03/2018;Oui;1
14119;270803;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0290181P;Lycée Brest - Rive Droite - Javouhey;Brest;29;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;28/03/2018;Oui;1
14084;703391;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0470018P;Lycée Marguerite Filhol;Fumel;47;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;30/03/2018;Oui;1
14118;1120968;Bac L;F;0;Non;0;Non boursier;;;;Atelier des arts plastiques ;Evry;91;France;99100;;;;Littéraire;L;;;Arts plastiques;25;15/03/2018;Oui;1
14119;709839;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0160002R;Lycée Guez De Balzac;Angoulême;16;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;28/03/2018;Oui;1
14084;495047;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0850027T;Lycée Polyvalent Rosa PARKS;La Roche-sur-Yon;85;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;30/03/2018;Oui;1
14084;786125;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0180006J;Lycée Marguerite De Navarre;Bourges;18;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;;Non;0
60249;168164;Bac Pro;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0875023M;Lycée Maryse Bastie;Limoges;87;France;99100;P;Systèmes électroniques numériques;203;Professionnelle;P;;;Systèmes électroniques numériques;203;30/03/2018;Oui;1
14119;145479;Bac ES;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0131327X;Lycée Tour Sainte (De);Marseille 14e  Arrondissement;13;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14119;491255;Bac ES;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0370016S;lycée polyvalent Thérèse Planiol ;Loches;37;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;04/03/2018;Oui;1
14119;1048257;Bac ES;M;0;Non;0;Non boursier;;;;;;;;;;;;Economique et social;ES;;;Mathématiques;11;18/03/2018;Oui;1
14084;705485;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0580031U;Lycée Jules Renard;Nevers;58;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;27/03/2018;Oui;1
14084;510951;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0561534N;Lycée Benjamin Franklin;Auray;56;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;29/03/2018;Oui;1
14084;417137;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240035H;Lycée Pre De Cordy;Sarlat-la-Canéda;24;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;11/03/2018;Oui;1
14114;556929;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0030051P;Lycée Général et Technologique Albert Londres;Cusset;3;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;29/03/2018;Oui;1
60251;163068;Bac STD2A;F;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0300027S;Lycée Hemingway - De La Camargue;Nîmes;30;France;99100;STD2A;;;Sciences Technologiques du Design et des Arts Appliquées;STD2A;;;;;28/03/2018;Oui;1
14084;688925;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870015U;Lycée Gay-Lussac;Limoges;87;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;22/02/2018;Oui;1
14119;334646;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0312686B;Lycée Saint-Exupéry;Blagnac;31;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;30/03/2018;Oui;1
14119;680271;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;9760127J;Lycée Younoussa Bamana;Mamoudzou;976;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;31/03/2018;Oui;1
14114;416844;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;28/03/2018;Oui;1
60249;853420;Bac Pro;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0310091F;Lycée professionnel Stéphane Hessel;Toulouse;31;France;99100;P;Electrotechnique, énergie, équipements communicants;186;Professionnelle;P;;;Electrotechnique, énergie, équipements communicants;186;29/03/2018;Oui;1
14084;331427;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0110022P;Lycée Docteur Lacroix;Narbonne;11;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;26/03/2018;Oui;1
14119;154329;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0230002C;Lycée Eugène JAMOT;Aubusson;23;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;30/03/2018;Oui;1
14119;725329;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0150006A;Lycée Jean Monnet - Mermoz;Aurillac;15;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;22/03/2018;Oui;1
14118;288653;Bac L;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0030025L;Lycée Madame De Stael;Montluçon;3;France;99100;L;Cinéma-audiovisuel;26;Littéraire;L;;;Cinéma-audiovisuel;26;30/03/2018;Oui;1
14114;416840;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;29/03/2018;Oui;1
14084;520194;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0030026M;Lycée Paul Constans;Montluçon;3;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;27/03/2018;Oui;1
14084;206563;Bac S;F;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0450050K;Lycée Jean ZAY;Orléans;45;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;24/03/2018;Oui;1
14084;1102193;Bac S;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;;;;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;25/03/2018;Oui;1
14084;596502;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0911946W;Lycée Leonard De Vinci;Saint-Michel-sur-Orge;91;France;99100;S;Physique-chimie;32;Scientifique;S;2;Sciences de l'ingénieur;Physique-chimie;32;27/03/2018;Oui;1
14084;528088;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0860035W;Lycée Camille Guérin;Poitiers;86;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
14084;1103943;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;;Non;0
14119;821108;Bac ES;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0590064Z;Lycée Jean-Baptiste Corot;Douai;59;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;29/03/2018;Oui;1
14084;749656;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0640134Y;Lycée St Thomas d'Aquin;Saint-Jean-de-Luz;64;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;31/03/2018;Oui;1
14084;544851;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0490040C;Lycée Duplessis Mornay;Saumur;49;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;09/03/2018;Oui;1
14119;552724;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0772243V;Lycée Camille Claudel;Pontault-Combault;77;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
101103;864665;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0170042D;Lycée Cordouan;Royan;17;France;99100;STMG;Mercatique;206;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;27/03/2018;Oui;1
14084;1065999;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;12/03/2018;Oui;1
60249;887350;Bac Pro;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0410001D;Lycée Augustin Thierry;Blois;41;France;99100;P;Maintenance des équipements industriels;202;Professionnelle;P;;;Maintenance des équipements industriels;202;29/03/2018;Oui;1
14114;820296;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0240005A;Lycée Maine De Biran;Bergerac;24;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;31/03/2018;Oui;1
14084;703371;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée sans classe postbac;2;0470018P;Lycée Marguerite Filhol;Fumel;47;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;28/03/2018;Oui;1
14114;751777;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0340011C;Lycée polyvalent Jean Moulin;Béziers;34;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;04/04/2018;Oui;1
101103;723672;Bac STMG;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0190012K;Lycée Danton;Brive-la-Gaillarde;19;France;99100;STMG;Ressources Humaines et Communication;537;Sciences et Technologies du Management et de la Gestion;STMG;;;Ressources Humaines et Communication;537;27/03/2018;Oui;1
14119;365065;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870864S;Lycée Saint-Jean;Limoges;87;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;30/03/2018;Oui;1
14119;182503;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0560117Y;Lycée St Paul;Vannes;56;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;29/03/2018;Oui;1
14084;260068;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190011J;Lycée d'Arsonval;Brive-la-Gaillarde;19;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;30/03/2018;Oui;1
14084;520281;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0030026M;Lycée Paul Constans;Montluçon;3;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;16/03/2018;Oui;1
14118;607477;Bac L;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870019Y;Lycée Suzanne Valadon;Limoges;87;France;99100;L;Arts plastiques;25;Littéraire;L;;;Arts plastiques;25;;Non;0
101103;373323;Bac STMG;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0861228T;Lycée Du Bois D'Amour;Poitiers;86;France;99100;STMG;Ressources Humaines et Communication;537;Sciences et Technologies du Management et de la Gestion;STMG;;;Ressources Humaines et Communication;537;30/03/2018;Oui;1
101103;233239;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160079Z;Lycée Sainte Marthe Chavagnes;Angoulême;16;France;99100;STMG;Gestion et Finance;536;Sciences et Technologies du Management et de la Gestion;STMG;;;Gestion et Finance;536;29/03/2018;Oui;1
14118;710306;Bac L;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160002R;Lycée Guez De Balzac;Angoulême;16;France;99100;L;Langue renforcée;23;Littéraire;L;;;Langue renforcée;23;25/03/2018;Oui;1
14118;315188;Bac L;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0450782F;Lycée Voltaire;Orléans;45;France;99100;L;Arts plastiques;25;Littéraire;L;;;Langue renforcée;23;31/03/2018;Oui;1
14119;642290;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0850032Y;Lycée Savary De Mauleon;Les Sables-d'Olonne;85;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;21/03/2018;Oui;1
60249;320302;Bac Pro;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0580071M;Centre scolaire Notre-Dame (ex l'Espérance- St Joseph);Nevers;58;France;99100;P;Systèmes électroniques numériques;203;Professionnelle;P;;;Systèmes électroniques numériques;203;07/03/2018;Oui;1
14114;520099;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0030026M;Lycée Paul Constans;Montluçon;3;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
14084;246807;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0370039S;Lycée Paul-Louis Courier;Tours;37;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;24/03/2018;Oui;1
14084;689893;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;9710923B;Lycée JARDIN d'ESSAI;Les Abymes;971;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;21/03/2018;Oui;1
14114;265378;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160004T;Lycée Charles A. COULOMB;Angoulême;16;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;26/03/2018;Oui;1
14114;261625;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870118F;Lycée Raoul Dautry;Limoges;87;France;99100;STI2D;Innovation Technologique et Eco conception;339;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;28/03/2018;Oui;1
14084;831379;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0170135E;Lycée Jean Hyppolite;Jonzac;17;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;30/03/2018;Oui;1
14084;205518;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0640057P;Lycée Saint-Cricq;Pau;64;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;;Non;0
60249;391842;Bac Pro;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240092V;Lycée professionnel Chambre Com Et Industrie;Boulazac Isle Manoire;24;France;99100;P;Vente (prospection, négociation, suivi de clientèle);180;Professionnelle;P;;;Vente (prospection, négociation, suivi de clientèle);180;30/03/2018;Oui;1
60249;400504;Bac Pro;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0290102D;Lycée professionnel Jules Lesven;Brest;29;France;99100;P;Accueil - relation clients et usagers;294;Professionnelle;P;;;Accueil - relation clients et usagers;294;11/03/2018;Oui;1
14084;561112;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0492089E;Lycée Emmanuel Mounier;Angers;49;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;29/03/2018;Oui;1
14119;560430;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0170100S;Lycée Fenelon;La Rochelle;17;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14114;261436;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870118F;Lycée Raoul Dautry;Limoges;87;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
14084;260112;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190011J;Lycée d'Arsonval;Brive-la-Gaillarde;19;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;19/03/2018;Oui;1
14084;578990;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0911251R;Lycée du Parc des Loges;Evry;91;France;99100;S;Mathématiques;11;Scientifique;S;2;Sciences de l'ingénieur;Mathématiques;11;25/03/2018;Oui;1
14084;171896;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0740082M;Lycée Saint Michel;Annecy;74;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
14084;755698;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0754025T;Lycée Saint-Nicolas;Paris  6e  Arrondissement;75;France;99100;FC;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;30/03/2018;Oui;1
14084;688944;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870015U;Lycée Gay-Lussac;Limoges;87;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;30/03/2018;Oui;1
14084;710255;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0160002R;Lycée Guez De Balzac;Angoulême;16;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
14118;545115;Bac L;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0190038N;Lycée Bernart de Ventadour;Ussel;19;France;99100;L;Mathématiques;11;Littéraire;L;;;Mathématiques;11;14/03/2018;Oui;1
14118;569581;Bac L;F;1;Oui;1;Boursier du secondaire;Lycée sans classe postbac;2;0690031J;Lycée Antoine De Saint Exupery;Lyon 4e  Arrondissement;69;France;99100;L;Arts plastiques;25;Littéraire;L;;;Arts plastiques;25;31/03/2018;Oui;1
14119;496452;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0451526P;Lycée Charles Peguy;Orléans;45;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;25/03/2018;Oui;1
1539;607349;Autres candidats;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870019Y;Lycée Suzanne Valadon;Limoges;87;France;99100;ST2S;;;Sciences et technologies de la santé et du social;ST2S;;;;;30/03/2018;Oui;1
14114;577776;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0410017W;Lycée Claude De France;Romorantin-Lanthenay;41;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
14119;167139;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870016V;Lycée Leonard Limosin;Limoges;87;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;05/03/2018;Oui;1
