Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
1539;1095173;Autres candidats;M;0;Non;0;Non boursier;Université;4;0597065J;Université de Lille;Lille;59;France;99100;Licence - Droit-économie-gestion;Droit;;Littéraire;LIT;;;;;30/03/2018;Oui;1
14119;1043383;Bac ES;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0141408E;Université de Caen Normandie;Caen;14;France;99100;Licence - Arts-lettres-langues;Langues étrangères appliquées;;Economique et social;ES;;;Sciences sociales et politiques;353;12/03/2018;Oui;1
14114;1069263;Bac STI2D;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0161125L;I.U.T. Angoulême;Angoulême;16;France;99100;DUT - Production;Génie électrique et informatique industrielle;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;29/03/2018;Oui;1
14119;1053058;Bac ES;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;;;;Economique et social;ES;;;Economie approfondie;352;12/03/2018;Oui;1
14114;1003848;Bac STI2D;M;0;Non;0;Non boursier;;;;;;;;;;;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Architecture et construction;337;13/03/2018;Oui;1
14084;1128116;Bac S;M;0;Non;0;Non boursier;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;24/02/2018;Oui;1
14118;1081437;Bac L;F;0;Non;0;Non boursier;Université;4;0370800U;Universite François-Rabelais - Tours;Tours;37;France;99100;;;;Littéraire;L;;;Cinéma-audiovisuel;26;30/03/2018;Oui;1
14084;1081812;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0763214F;I.U.T De Rouen - Site d'Elbeuf;Elbeuf;76;France;99100;DUT - Production;Réseaux et télécommunications;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;11/03/2018;Oui;1
1539;1084923;Autres candidats;F;0;Non;2;Boursier de l'enseignement supérieur;Lycée à classe postbac;1;0861273S;CNED;Chasseneuil-du-Poitou;86;France;99100;BTS - Services;Services informatiques aux organisations;;Sciences et technologies de la santé et du social;ST2S;;;;;27/03/2018;Oui;1
14114;1002083;Bac STI2D;M;0;Non;2;Boursier de l'enseignement supérieur;Lycée à classe postbac;1;0330029C;Lycée Nicolas Bremontier;Bordeaux;33;France;99100;BTS - Services;Support à l'action managériale;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;28/03/2018;Oui;1
